point,x,y,z
point_223,1588904.5,6803986.0,0.6
point_224,1588904.25,6803983.0,0.6
point_225,1588903.75,6803979.5,0.6
point_226,1588903.25,6803977.0,0.6
point_227,1588903.0,6803973.5,0.6
point_228,1588902.5,6803971.0,0.6
point_229,1588902.25,6803967.5,0.6
point_230,1588901.75,6803965.0,0.6
point_231,1588901.25,6803961.5,0.6
point_232,1588901.0,6803959.0,0.6
point_233,1588900.5,6803955.5,0.6
point_234,1588900.125,6803953.0,0.6
point_235,1588899.75,6803949.5,0.6
point_236,1588899.25,6803946.0,0.6
point_237,1588899.0,6803943.5,0.6
point_238,1588898.5,6803940.0,0.6
point_239,1588898.125,6803937.0,0.6
point_240,1588897.75,6803934.0,0.6
point_241,1588897.25,6803931.5,0.6
point_242,1588897.0,6803928.0,0.6
point_243,1588896.5,6803925.0,0.6
point_244,1588896.125,6803922.0,0.6
point_245,1588895.75,6803919.5,0.6
point_246,1588895.25,6803916.0,0.6
point_247,1588895.0,6803913.0,0.6
point_248,1588894.5,6803910.0,0.6
point_249,1588894.125,6803907.0,0.6
point_250,1588893.75,6803904.0,0.6
point_251,1588893.25,6803901.0,0.6
point_252,1588893.0,6803897.5,0.6
point_253,1588892.5,6803895.0,0.6
point_254,1588892.125,6803891.5,0.6
point_255,1588891.75,6803889.0,0.6
point_256,1588891.25,6803885.5,0.6
point_257,1588891.0,6803883.0,0.6
point_258,1588890.5,6803879.5,0.6
point_259,1588908.0,6803989.0,0.6
point_260,1588907.5,6803985.5,0.6
point_261,1588907.25,6803982.0,0.6
point_262,1588906.75,6803979.5,0.6
point_263,1588906.25,6803976.0,0.6
point_264,1588906.0,6803973.0,0.6
point_265,1588905.5,6803970.0,0.6
point_266,1588905.125,6803967.5,0.6
point_267,1588904.75,6803964.0,0.6
point_268,1588904.25,6803961.0,0.6
point_269,1588904.0,6803958.0,0.6
point_270,1588903.5,6803955.5,0.6
point_271,1588903.125,6803952.0,0.6
point_272,1588902.75,6803949.0,0.6
point_273,1588902.25,6803946.0,0.6
point_274,1588902.0,6803943.0,0.6
point_275,1588901.5,6803940.0,0.6
point_276,1588901.125,6803937.0,0.6
point_277,1588900.75,6803933.5,0.6
point_278,1588900.25,6803931.0,0.6
point_279,1588900.0,6803927.5,0.6
point_280,1588899.5,6803925.0,0.6
point_281,1588899.125,6803921.5,0.6
point_282,1588898.75,6803919.0,0.6
point_283,1588898.25,6803915.5,0.6
point_284,1588897.75,6803913.0,0.6
point_285,1588897.5,6803909.5,0.6
point_286,1588897.125,6803907.0,0.6
point_287,1588896.625,6803903.5,0.6
point_288,1588896.25,6803901.0,0.6
point_289,1588895.75,6803897.5,0.6
point_290,1588895.5,6803894.0,0.6
point_291,1588895.125,6803891.5,0.6
point_292,1588894.625,6803888.0,0.6
point_293,1588894.25,6803885.0,0.6
point_294,1588893.75,6803882.0,0.6
point_295,1588893.5,6803879.5,0.6
point_296,1588911.0,6803988.0,0.6
point_297,1588910.5,6803985.0,0.6
point_298,1588910.25,6803982.0,0.6
point_299,1588909.75,6803979.5,0.6
point_300,1588909.25,6803976.0,0.6
point_301,1588909.0,6803973.0,0.6
point_302,1588908.5,6803970.0,0.6
point_303,1588908.125,6803967.0,0.6
point_304,1588907.75,6803963.5,0.6
point_305,1588907.25,6803961.0,0.6
point_306,1588907.0,6803957.5,0.6
point_307,1588906.5,6803955.0,0.6
point_308,1588906.125,6803951.5,0.6
