x1,y1,z1,x2,y2,z2
1589136.48112,6803970.04854,0.0,1589135.20112,6803963.86854,0.0
1589135.20112,6803963.86854,0.0,1589133.57112,6803956.23854,0.0
1589070.89112,6803904.13854,0.0,1589077.89112,6803954.52854,0.0
1589077.89112,6803954.52854,0.0,1589085.63112,6803953.47854,0.0
1589085.63112,6803953.47854,0.0,1589092.22112,6803952.58854,0.0
1589092.22112,6803952.58854,0.0,1589100.04112,6803951.52854,0.0
1589100.04112,6803951.52854,0.0,1589093.18112,6803900.92854,0.0
1589093.18112,6803900.92854,0.0,1589085.24112,6803902.06854,0.0
1589085.24112,6803902.06854,0.0,1589078.57112,6803903.02854,0.0
1589078.57112,6803903.02854,0.0,1589070.89112,6803904.13854,0.0
1589061.40112,6803834.35854,0.0,1589062.36112,6803841.36854,0.0
1589062.36112,6803841.36854,0.0,1589063.21112,6803847.58854,0.0
1589063.21112,6803847.58854,0.0,1589064.16112,6803854.50854,0.0
1589064.16112,6803854.50854,0.0,1589118.29112,6803847.16854,0.0
1589118.29112,6803847.16854,0.0,1589117.29112,6803839.83854,0.0
1589117.29112,6803839.83854,0.0,1589116.50112,6803834.08854,0.0
1589116.50112,6803834.08854,0.0,1589115.53112,6803826.97854,0.0
1589115.53112,6803826.97854,0.0,1589109.94112,6803827.73854,0.0
1589109.94112,6803827.73854,0.0,1589102.74112,6803828.71854,0.0
1589102.74112,6803828.71854,0.0,1589092.11112,6803830.16854,0.0
1589092.11112,6803830.16854,0.0,1589084.92112,6803831.14854,0.0
1589084.92112,6803831.14854,0.0,1589074.04112,6803832.63854,0.0
1589074.04112,6803832.63854,0.0,1589066.90112,6803833.60854,0.0
1589066.90112,6803833.60854,0.0,1589061.40112,6803834.35854,0.0
1588929.91112,6803816.68854,-4.4408920985e-16,1588929.65112,6803817.14854,-4.4408920985e-16
1588929.65112,6803817.14854,-4.4408920985e-16,1588923.16112,6803819.01854,4.4408920985e-16
1588923.16112,6803819.01854,4.4408920985e-16,1588924.05112,6803822.09854,4.4408920985e-16
1588924.05112,6803822.09854,4.4408920985e-16,1588923.42112,6803822.27854,4.4408920985e-16
1588923.42112,6803822.27854,4.4408920985e-16,1588924.42112,6803825.74854,-4.4408920985e-16
1588924.42112,6803825.74854,-4.4408920985e-16,1588925.90112,6803825.32854,-4.4408920985e-16
1588925.90112,6803825.32854,-4.4408920985e-16,1588927.62112,6803831.26854,-4.4408920985e-16
1588927.62112,6803831.26854,-4.4408920985e-16,1588933.43112,6803829.58854,4.4408920985e-16
1588933.43112,6803829.58854,4.4408920985e-16,1588933.64112,6803830.32854,-4.4408920985e-16
1588933.64112,6803830.32854,-4.4408920985e-16,1588937.00112,6803829.36854,4.4408920985e-16
1588937.00112,6803829.36854,4.4408920985e-16,1588936.51112,6803827.67854,-4.4408920985e-16
1588936.51112,6803827.67854,-4.4408920985e-16,1588939.66112,6803826.76854,-4.4408920985e-16
1588939.66112,6803826.76854,-4.4408920985e-16,1588940.19112,6803828.59854,-4.4408920985e-16
1588940.19112,6803828.59854,-4.4408920985e-16,1588943.56112,6803827.61854,4.4408920985e-16
1588943.56112,6803827.61854,4.4408920985e-16,1588943.33112,6803826.80854,-4.4408920985e-16
1588943.33112,6803826.80854,-4.4408920985e-16,1588949.13112,6803825.12854,-4.4408920985e-16
1588949.13112,6803825.12854,-4.4408920985e-16,1588947.49112,6803819.46854,4.4408920985e-16
1588947.49112,6803819.46854,4.4408920985e-16,1588949.08112,6803819.00854,-4.4408920985e-16
1588949.08112,6803819.00854,-4.4408920985e-16,1588948.12112,6803815.67854,-4.4408920985e-16
1588948.12112,6803815.67854,-4.4408920985e-16,1588947.45112,6803815.87854,4.4408920985e-16
1588947.45112,6803815.87854,4.4408920985e-16,1588946.49112,6803812.55854,-4.4408920985e-16
1588946.49112,6803812.55854,-4.4408920985e-16,1588940.19112,6803814.36854,-4.4408920985e-16
1588940.19112,6803814.36854,-4.4408920985e-16,1588939.63112,6803813.82854,-4.4408920985e-16
1588939.63112,6803813.82854,-4.4408920985e-16,1588939.05112,6803813.96854,-4.4408920985e-16
1588939.05112,6803813.96854,-4.4408920985e-16,1588938.93112,6803813.53854,-8.881784197e-16
1588938.93112,6803813.53854,-8.881784197e-16,1588938.10112,6803810.41854,-8.881784197e-16
1588938.10112,6803810.41854,-8.881784197e-16,1588938.03112,6803810.15854,4.4408920985e-16
1588938.03112,6803810.15854,4.4408920985e-16,1588937.95112,6803809.83854,4.4408920985e-16
1588937.95112,6803809.83854,4.4408920985e-16,1588938.44112,6803809.67854,-4.4408920985e-16
